family	gene	coordinates
DEAD	TraAM80_08267	10682-12497
DEAD	TraAM80_06352	25805-27515
DEAD	TraAM80_03771	3593-5252
DEAD	TraAM80_06160	23656-25186
DEAD	TraAM80_01694	27710-30185
DEAD	TraAM80_09204	3029-5180
DEAD	TraAM80_05732	1527-3063
DEAD	TraAM80_01544	61931-63923
DEAD	TraAM80_01526	31250-33785
DEAD	TraAM80_03364	43557-44745
DEAD	TraAM80_02919	19929-20907
DEAD	TraAM80_03995	38933-40691
DEAD	TraAM80_04860	286-1486
DEAD	TraAM80_09097	2100-4494
DEAD	TraAM80_03051	49418-50315
DEAD	TraAM80_06956	4226-7088
DEAD	TraAM80_02699	252-1563
DEAD	TraAM80_07593	9219-11694
DEAD	TraAM80_04273	41952-44127
DEAD	TraAM80_05725	20115-22509
DEAD	TraAM80_04481	28745-30407
DEAD	TraAM80_04882	12359-19100
DEAD	TraAM80_00018	48734-49274
DEAD	TraAM80_03310	27451-27949
DEAD	TraAM80_00319	89135-90914
DEAD	TraAM80_08087	9184-11482
DEAD	TraAM80_06001	10386-11526
DEAD	TraAM80_01453	69783-71487
DEAD	TraAM80_03923	39194-40613
DEAD	TraAM80_04685	6186-10176
DEAD	TraAM80_08939	3470-9920
DEAD	TraAM80_01992	34969-37750
DEAD	TraAM80_04957	7033-8851
DEAD	TraAM80_00517	57376-59122
DEAD	TraAM80_01618	16438-16840
DEAD	TraAM80_08570	8661-12312
DEAD	TraAM80_02528	61989-64434
DEAD	TraAM80_03675	18364-20188
DEAD	TraAM80_04948	36189-40389
DEAD	TraAM80_09101	255-3438
DEAD	TraAM80_05570	11367-11742
DEAD	TraAM80_09509	259-3370
DEAD	TraAM80_00974	67024-68764
DEAD	TraAM80_01131	66390-68535
DEAD	TraAM80_07679	3655-7441
DEAD	TraAM80_06541	11396-13247
DEAD	TraAM80_07428	10745-16922
DEAD	TraAM80_01585	41838-43434
DEAD	TraAM80_08232	6538-9871
DEAD	TraAM80_01195	84933-88188
DEAD	TraAM80_08667	2946-5703
DEAD	TraAM80_06794	381-3438
DEAD	TraAM80_01859	70700-73970
DEAD	TraAM80_05385	36750-39657
DEAD	TraAM80_08136	3745-7084
DEAD	TraAM80_03626	15607-18682
DEAD	TraAM80_07210	8783-10349
DEAD	TraAM80_03860	13784-17357
DEAD	TraAM80_07921	977-3224
DEAD	TraAM80_04197	32202-33225
DEAD	TraAM80_02846	16862-18593
DEAD	TraAM80_01413	74658-77157
DEAD	TraAM80_04303	7439-8270
DEAD	TraAM80_01771	32938-34927
DEAD	TraAM80_09310	4963-7264
DEAD	TraAM80_03879	14960-15593
DEAD	TraAM80_06408	15496-17164
DEAD	TraAM80_06362	5863-8212
DEAD	TraAM80_02913	9692-10619
DEAD	TraAM80_05518	13019-26840
DEAD	TraAM80_09185	3791-4859
DEAD	TraAM80_04302	5620-7393
DEAD	TraAM80_06591	22283-23423
DEAD	TraAM80_08653	8069-10412
DEAD	TraAM80_00395	2215-3763
DEAD	TraAM80_02833	56920-58792
DEAD	TraAM80_08365	11205-13764
DEAD	TraAM80_04894	34622-37139
DEAD	TraAM80_04243	30702-33036
DEAD	TraAM80_06306	516-3099
DEAD	TraAM80_00325	99128-100742
DEAD	TraAM80_02403	51492-52953
DEK_C	TraAM80_02881	14508-15321
DEK_C	TraAM80_09842	332-1454
DnaJ	TraAM80_06135	12045-13317
DnaJ	TraAM80_05692	7692-8892
DnaJ	TraAM80_06434	29236-30253
DnaJ	TraAM80_02579	19325-20459
DnaJ	TraAM80_06694	26268-27666
DnaJ	TraAM80_00179	38014-38590
DnaJ	TraAM80_00028	66063-66864
DnaJ	TraAM80_05394	13628-14417
DnaJ	TraAM80_01495	69379-70291
DnaJ	TraAM80_00589	79638-80826
DnaJ	TraAM80_01165	34146-35535
DnaJ	TraAM80_07185	10800-13548
DnaJ	TraAM80_03182	26063-27512
DnaJ	TraAM80_00674	45560-47090
DnaJ	TraAM80_07527	7978-8794
DnaJ	TraAM80_03227	6664-7480
DnaJ	TraAM80_00659	21967-22540
DnaJ	TraAM80_01112	29136-31242
DnaJ	TraAM80_00490	1192-1897
DnaJ	TraAM80_07335	13705-16210
DnaJ	TraAM80_06681	305-1661
DnaJ	TraAM80_04565	20251-21634
DnaJ	TraAM80_05847	32922-34257
DnaJ	TraAM80_04645	20699-21365
DnaJ	TraAM80_00116	71609-72023
DnaJ	TraAM80_09145	3281-3764
DnaJ	TraAM80_00715	5543-6698
DnaJ	TraAM80_06171	8746-9256
DnaJ	TraAM80_00289	25275-27549
DnaJ	TraAM80_05469	15354-18552
DnaJ	TraAM80_04042	44858-46796
DnaJ	TraAM80_04272	40352-41309
DnaJ	TraAM80_08961	3788-5291
DnaJ	TraAM80_09073	7469-9785
DnaJ	TraAM80_06555	16412-17195
DnaJ	TraAM80_06797	6930-8178
DnaJ	TraAM80_01895	61186-61897
DnaJ	TraAM80_00920	63586-65065
DnaJ	TraAM80_03423	25710-27555
DnaJ	TraAM80_04636	3861-4377
DnaJ	TraAM80_08598	6098-7868
DnaJ	TraAM80_02681	30452-44285
DnaJ	TraAM80_01261	21863-22883
DnaJ	TraAM80_02355	7667-8276
DnaJ	TraAM80_04315	40710-43608
DnaJ	TraAM80_09098	6502-7741
DnaJ	TraAM80_08475	3877-4795
DnaJ	TraAM80_01984	8476-15169
DnaJ	TraAM80_04373	17087-17657
DnaJ	TraAM80_03279	55483-58006
DnaJ	TraAM80_03787	37397-38510
DnaJ	TraAM80_01673	54523-55333
DnaJ	TraAM80_01383	3350-4445
DnaJ	TraAM80_05307	18919-19720
DnaJ	TraAM80_02203	51974-52709
DnaJ	TraAM80_04479	26109-27051
DnaJ	TraAM80_06056	6536-7607
DnaJ	TraAM80_08045	589-1426
DnaJ	TraAM80_01194	83525-84434
DnaJ	TraAM80_03875	8805-9333
DnaJ	TraAM80_00348	11308-12619
DnaJ	TraAM80_05007	9516-10200
DnaJ	TraAM80_05077	5567-6170
DnaJ	TraAM80_01854	60632-61892
DnaJ	TraAM80_08048	9893-10991
DnaJ	TraAM80_01776	46030-46612
DnaJ	TraAM80_01970	56148-56514
DnaJ	TraAM80_05900	44-482
DnaJ	TraAM80_04447	13149-14076
DnaJ	TraAM80_05846	31197-32379
DNAPKcs_CC3	TraAM80_03918	25813-33688
DNA_gyraseB	TraAM80_06611	10886-12632
DNA_gyraseB	TraAM80_03013	19267-22942
DNA_methylase	TraAM80_06987	19284-20460
DNA_pol_phi	TraAM80_03556	46688-47972
DNA_pol_phi	TraAM80_02944	6971-7295
DNA_pol_phi	TraAM80_06176	16711-17740
DNA_pol_phi	TraAM80_00404	23248-24340
DNA_pol_phi	TraAM80_04351	3501-5034
DNA_pol_phi	TraAM80_01289	76730-78038
DNA_pol_phi	TraAM80_07224	10875-12159
DNA_pol_phi	TraAM80_03292	30581-37169
DNA_pol_phi	TraAM80_01674	55893-64356
DNA_pol_phi	TraAM80_03516	17337-21312
DNA_pol_phi	TraAM80_07010	3813-4260
DNA_pol_phi	TraAM80_03817	44631-47970
DNA_pol_phi	TraAM80_05851	3904-8068
DNA_pol_phi	TraAM80_07467	213-957
DNA_pol_phi	TraAM80_04351	3501-5034
DNA_pol_phi	TraAM80_06669	6573-7242
DNA_topoisoIV	TraAM80_06611	10886-12632
DNA_topoisoIV	TraAM80_03013	19267-22942
DND1_DSRM	TraAM80_03949	42620-43670
DND1_DSRM	TraAM80_03675	18364-20188
DOT1	TraAM80_02634	62989-63877
DOT1	TraAM80_06928	5972-6785
DOT1	TraAM80_07895	1089-1785
DOT1	TraAM80_00755	7019-8666
Dpy-30	TraAM80_00239	7366-10438
Dpy-30	TraAM80_04516	9222-9549
Dpy-30	TraAM80_05112	33639-34419
Dpy-30	TraAM80_04351	3501-5034
Dpy-30	TraAM80_04377	24169-25768
Dpy-30	TraAM80_06772	4557-7596
Dpy-30	TraAM80_00569	35434-39229
Dpy-30	TraAM80_03770	1459-1900
DRY_EERY	TraAM80_07770	7797-9735
dsrm	TraAM80_03675	18364-20188
dsrm	TraAM80_05535	17033-22283
dsrm	TraAM80_07161	10500-13581
dsrm	TraAM80_04948	36189-40389
dsrm	TraAM80_03949	42620-43670
dsrm	TraAM80_05431	22253-24662
dsrm	TraAM80_09660	4742-6143
dsrm	TraAM80_05772	35454-36330
DTHCT	TraAM80_02426	45157-45781
DUF3736	TraAM80_00459	34586-38171
DUF3776	TraAM80_06171	8746-9256
DUF4208	TraAM80_03481	12383-12992
DUF4208	TraAM80_03349	17493-17961
DUF913	TraAM80_01173	47802-48465
DUF913	TraAM80_01172	45474-47799
DUF913	TraAM80_03817	44631-47970
DUF913	TraAM80_03556	46688-47972
DUF913	TraAM80_00369	71857-73543
DUSP	TraAM80_01232	67600-69082
E2F_TDP	TraAM80_00028	66063-66864
E3_UbLigase_EDD	TraAM80_00898	27240-27633
ECH_1	TraAM80_09131	623-1355
ECH_1	TraAM80_03773	12550-13381
ECH_1	TraAM80_07749	3239-4280
ECH_1	TraAM80_00530	80545-82621
ECH_1	TraAM80_02304	58457-59306
ECH_1	TraAM80_07694	5587-7966
ECH_1	TraAM80_02119	28167-31707
ECH_1	TraAM80_05506	32894-34169
ECR1_N	TraAM80_05531	7301-11549
EGF	TraAM80_05210	20518-22186
ELM2	TraAM80_06595	409-847
Elong_Iki1	TraAM80_04558	7576-8050
ENT	TraAM80_00288	24133-24862
ENT	TraAM80_06517	15406-16387
EnY2	TraAM80_03960	14360-14684
EPL1	TraAM80_02644	13446-15486
EXOSC1	TraAM80_04433	36417-37350
EXOSC1	TraAM80_05363	1756-3013
EXOSC1	TraAM80_01863	80711-81620
Exo_endo_phos	TraAM80_01135	79422-81294
Exo_endo_phos	TraAM80_05659	26257-28024
Exo_endo_phos	TraAM80_02485	21443-23213
Exo_endo_phos	TraAM80_03869	46102-47887
Exo_endo_phos	TraAM80_07780	1911-3558
Exo_endo_phos	TraAM80_03019	36133-38488
Exo_endo_phos	TraAM80_06146	32823-34076
Exo_endo_phos	TraAM80_03624	8958-11694
Exo_endo_phos	TraAM80_09214	3850-5509
Exo_endo_phos	TraAM80_01606	79472-79979
Exo_endo_phos	TraAM80_02997	48045-50637
Exo_endo_phos	TraAM80_02449	16619-17567
Exo_endo_phos	TraAM80_03796	7631-10403
Exo_endo_phos	TraAM80_06944	5080-5560
F-box	TraAM80_08942	2716-4234
F-box	TraAM80_06818	16072-17449
F-box	TraAM80_07908	16636-17689
F-box	TraAM80_10395	621-1869
F-box	TraAM80_04920	26711-28475
F-box	TraAM80_06005	21269-22703
F-box	TraAM80_02966	49612-51286
F-box	TraAM80_02256	27051-29061
F-box	TraAM80_08621	4256-6062
FAT	TraAM80_07536	1466-8771
FAT	TraAM80_02673	11694-19476
FAT	TraAM80_04040	33250-41713
FAT	TraAM80_06629	19689-24489
FAT	TraAM80_04693	22592-31151
FAT	TraAM80_06630	24583-27004
FAT	TraAM80_03990	27047-28940
FAT	TraAM80_03361	38415-40161
FATC	TraAM80_06630	24583-27004
FATC	TraAM80_02673	11694-19476
FATC	TraAM80_04693	22592-31151
FATC	TraAM80_07536	1466-8771
FATC	TraAM80_08848	9287-11884
FATC	TraAM80_04040	33250-41713
Fcf2	TraAM80_06049	27834-28398
FHA	TraAM80_08024	10271-11525
FHA	TraAM80_05956	34998-35817
FHA	TraAM80_08932	3031-3970
FHA	TraAM80_05579	35665-37306
FHA	TraAM80_07916	11685-14583
FHA	TraAM80_08531	4463-5339
FHA	TraAM80_02184	7297-8509
FHA	TraAM80_06455	10395-15555
FHA	TraAM80_03210	38204-40184
FHA	TraAM80_01664	29790-30543
FHA	TraAM80_03973	38276-39677
FHA	TraAM80_05582	7779-9807
FHA	TraAM80_04763	43685-45473
Fibrillarin	TraAM80_03930	51112-52000
Fibrillarin	TraAM80_05844	28855-29425
Fibrillarin	TraAM80_04337	28996-29929
FTO_CTD	TraAM80_01058	88200-89568
FYRC	TraAM80_03795	5256-7113
FYRC	TraAM80_01302	9223-11671
FYRC	TraAM80_03697	14009-15224
FYRN	TraAM80_03795	5256-7113
G-patch	TraAM80_08286	8257-10069
G-patch	TraAM80_09392	1261-1852
GATA	TraAM80_04229	3295-3823
GATA	TraAM80_01610	1087-2602
GATA	TraAM80_06415	29097-30549
Glyco_transf_41	TraAM80_04705	5195-5735
GNAT_acetyltr_2	TraAM80_06299	10339-11566
GUCT	TraAM80_01544	61931-63923
GUCT	TraAM80_01249	2415-4686
HA2	TraAM80_06541	11396-13247
HA2	TraAM80_05570	11367-11742
HA2	TraAM80_09101	255-3438
HA2	TraAM80_04302	5620-7393
HA2	TraAM80_01131	66390-68535
HA2	TraAM80_07679	3655-7441
HA2	TraAM80_02846	16862-18593
HA2	TraAM80_06794	381-3438
HA2	TraAM80_04948	36189-40389
HA2	TraAM80_00974	67024-68764
HA2	TraAM80_03675	18364-20188
HA2	TraAM80_01195	84933-88188
HA2	TraAM80_03657	36901-38080
HA2	TraAM80_07428	10745-16922
HABP4_PAI-RBP1	TraAM80_08508	12689-14462
HAND	TraAM80_08136	3745-7084
HAND	TraAM80_03849	42976-45394
Haspin_kinase	TraAM80_03043	35430-36705
Haspin_kinase	TraAM80_03172	9697-10816
Haspin_kinase	TraAM80_04353	7427-9839
Haspin_kinase	TraAM80_00992	7609-10729
Haspin_kinase	TraAM80_04511	1990-2662
Haspin_kinase	TraAM80_04509	0-678
Haspin_kinase	TraAM80_00669	36461-36833
Haspin_kinase	TraAM80_08044	16054-16915
Haspin_kinase	TraAM80_04111	42068-44531
Haspin_kinase	TraAM80_09132	3130-4249
Haspin_kinase	TraAM80_03970	31602-32904
Haspin_kinase	TraAM80_05879	5654-6899
Haspin_kinase	TraAM80_08135	1464-3324
Haspin_kinase	TraAM80_01907	5861-6767
Haspin_kinase	TraAM80_06882	1966-3025
Haspin_kinase	TraAM80_03524	35574-38853
Haspin_kinase	TraAM80_05729	33164-34205
Haspin_kinase	TraAM80_00815	51987-53433
Haspin_kinase	TraAM80_04582	7915-9031
Haspin_kinase	TraAM80_00419	63522-63936
Haspin_kinase	TraAM80_00808	40611-41541
Haspin_kinase	TraAM80_00666	33046-33982
Haspin_kinase	TraAM80_04299	362-2552
Haspin_kinase	TraAM80_01464	85841-87062
Haspin_kinase	TraAM80_02526	54482-58454
Haspin_kinase	TraAM80_04330	17903-18962
Haspin_kinase	TraAM80_05194	37773-38373
Haspin_kinase	TraAM80_03748	14481-15750
Haspin_kinase	TraAM80_08760	11991-12610
Haspin_kinase	TraAM80_00648	3978-5364
Haspin_kinase	TraAM80_04510	1487-1994
Haspin_kinase	TraAM80_01406	57780-60387
Haspin_kinase	TraAM80_08548	829-1918
Haspin_kinase	TraAM80_01051	68547-69561
Haspin_kinase	TraAM80_07651	11440-12565
Haspin_kinase	TraAM80_02332	40110-41199
Haspin_kinase	TraAM80_01545	65183-65555
HATPase_c	TraAM80_02677	26382-27639
HATPase_c	TraAM80_04835	35834-37955
HATPase_c	TraAM80_06611	10886-12632
HATPase_c	TraAM80_02892	34406-36707
HATPase_c	TraAM80_03013	19267-22942
HATPase_c	TraAM80_04834	34814-35150
HATPase_c	TraAM80_05521	30144-31413
HATPase_c	TraAM80_01083	58707-60954
HATPase_c	TraAM80_08195	3045-8010
HATPase_c	TraAM80_10256	233-1571
HATPase_c	TraAM80_03244	41056-41854
HATPase_c	TraAM80_03020	38688-39024
HDAC4_Gln	TraAM80_03798	12716-14597
HECT	TraAM80_05714	19435-31642
HECT	TraAM80_00103	46214-49097
HECT	TraAM80_00868	66692-71519
HECT	TraAM80_05789	26613-27597
HECT	TraAM80_00014	35316-36531
HECT	TraAM80_06624	5209-13024
HECT	TraAM80_00253	46107-59349
HECT	TraAM80_02671	4704-8538
HECT	TraAM80_04542	12242-24539
HECT	TraAM80_00365	57214-66163
HECT	TraAM80_04771	14787-27186
HECT	TraAM80_05454	27739-29836
HECT	TraAM80_07863	3655-5254
HECT	TraAM80_03033	14143-15451
HECT	TraAM80_04153	47173-50938
Helicase_C	TraAM80_03364	43557-44745
Helicase_C	TraAM80_08267	10682-12497
Helicase_C	TraAM80_09097	2100-4494
Helicase_C	TraAM80_00018	48734-49274
Helicase_C	TraAM80_03051	49418-50315
Helicase_C	TraAM80_04860	286-1486
Helicase_C	TraAM80_01544	61931-63923
Helicase_C	TraAM80_07530	13787-14879
Helicase_C	TraAM80_06160	23656-25186
Helicase_C	TraAM80_03771	3593-5252
Helicase_C	TraAM80_02919	19929-20907
Helicase_C	TraAM80_03998	45123-46653
Helicase_C	TraAM80_04481	28745-30407
Helicase_C	TraAM80_06352	25805-27515
Helicase_C	TraAM80_02699	252-1563
Helicase_C	TraAM80_05732	1527-3063
Helicase_C	TraAM80_09204	3029-5180
Helicase_C	TraAM80_04273	41952-44127
Helicase_C	TraAM80_06956	4226-7088
Helicase_C	TraAM80_01526	31250-33785
Helicase_C	TraAM80_03995	38933-40691
Helicase_C	TraAM80_05725	20115-22509
Helicase_C	TraAM80_07593	9219-11694
Helicase_C	TraAM80_01694	27710-30185
Helicase_C	TraAM80_06000	9607-10378
Helicase_C	TraAM80_08136	3745-7084
Helicase_C	TraAM80_03860	13784-17357
Helicase_C	TraAM80_08087	9184-11482
Helicase_C	TraAM80_08232	6538-9871
Helicase_C	TraAM80_06188	1849-4801
Helicase_C	TraAM80_00319	89135-90914
Helicase_C	TraAM80_09509	259-3370
Helicase_C	TraAM80_03162	45046-51379
Helicase_C	TraAM80_01585	41838-43434
Helicase_C	TraAM80_03310	27451-27949
Helicase_C	TraAM80_04957	7033-8851
Helicase_C	TraAM80_00198	65042-67811
Helicase_C	TraAM80_01859	70700-73970
Helicase_C	TraAM80_03675	18364-20188
Helicase_C	TraAM80_02280	7351-8140
Helicase_C	TraAM80_06408	15496-17164
Helicase_C	TraAM80_02846	16862-18593
Helicase_C	TraAM80_02528	61989-64434
Helicase_C	TraAM80_06541	11396-13247
Helicase_C	TraAM80_04948	36189-40389
Helicase_C	TraAM80_04302	5620-7393
Helicase_C	TraAM80_07921	977-3224
Helicase_C	TraAM80_09101	255-3438
Helicase_C	TraAM80_08570	8661-12312
Helicase_C	TraAM80_07679	3655-7441
Helicase_C	TraAM80_01992	34969-37750
Helicase_C	TraAM80_06798	8424-13476
Helicase_C	TraAM80_01131	66390-68535
Helicase_C	TraAM80_00974	67024-68764
Helicase_C	TraAM80_05570	11367-11742
Helicase_C	TraAM80_00282	9755-10964
Helicase_C	TraAM80_04772	28768-31096
Helicase_C	TraAM80_01618	16438-16840
Helicase_C	TraAM80_04174	41880-44835
Helicase_C	TraAM80_02403	51492-52953
Helicase_C	TraAM80_06794	381-3438
Helicase_C	TraAM80_04023	36784-40486
Helicase_C	TraAM80_04882	12359-19100
Helicase_C	TraAM80_01195	84933-88188
Helicase_C	TraAM80_08939	3470-9920
Helicase_C	TraAM80_03923	39194-40613
Helicase_C	TraAM80_08667	2946-5703
Helicase_C	TraAM80_00517	57376-59122
Helicase_C	TraAM80_05206	12797-13628
Helicase_C	TraAM80_01453	69783-71487
Helicase_C	TraAM80_02833	56920-58792
Helicase_C	TraAM80_07428	10745-16922
Helicase_C	TraAM80_09310	4963-7264
Helicase_C	TraAM80_04685	6186-10176
Helicase_RecD	TraAM80_06299	10339-11566
Helicase_RecD	TraAM80_01284	60511-61012
Helicase_RecD	TraAM80_04894	34622-37139
Helicase_RecD	TraAM80_06591	22283-23423
Helicase_RecD	TraAM80_00177	34875-36204
Helicase_RecD	TraAM80_04050	8162-9389
Helicase_RecD	TraAM80_01195	84933-88188
HhH-GPD	TraAM80_05569	10366-11152
HhH-GPD	TraAM80_07054	15780-17811
HhH-GPD	TraAM80_01718	78972-80319
HHH_5	TraAM80_00892	16067-17123
HHH_5	TraAM80_00811	47454-48528
HHH_5	TraAM80_07605	15090-15900
HHH_5	TraAM80_04384	40393-41593
HHH_5	TraAM80_04383	37917-39723
HHH_5	TraAM80_01618	16438-16840
HHH_5	TraAM80_07054	15780-17811
HHH_5	TraAM80_04685	6186-10176
HHH_5	TraAM80_01718	78972-80319
HHH_7	TraAM80_08256	4559-9008
HHH_7	TraAM80_09483	1490-4382
Hira	TraAM80_02693	55482-58995
Hira	TraAM80_03816	40533-43020
Hira	TraAM80_05498	3843-8703
Hira	TraAM80_07944	15865-18160
Hira	TraAM80_06928	5972-6785
Hist_deacetyl	TraAM80_07150	13278-15183
Hist_deacetyl	TraAM80_08198	13924-15283
Hist_deacetyl	TraAM80_04961	15034-15973
Hist_deacetyl	TraAM80_06832	9599-11129
Hist_deacetyl	TraAM80_04370	6371-8168
HLH	TraAM80_03172	9697-10816
HMG_box	TraAM80_02881	14508-15321
HMG_box	TraAM80_02703	11750-12626
HMG_box	TraAM80_04954	2299-2998
HMG_box	TraAM80_07514	1576-2761
HMG_box	TraAM80_00372	76927-80257
HMG_box	TraAM80_08186	3706-5923
HMG_box_2	TraAM80_02881	14508-15321
HMG_box_2	TraAM80_07514	1576-2761
HMG_box_2	TraAM80_02868	57754-58147
HMG_box_2	TraAM80_02703	11750-12626
HMG_box_2	TraAM80_02870	60680-61055
HMG_box_2	TraAM80_02870	60680-61055
HMG_box_2	TraAM80_02868	57754-58147
HMG_box_2	TraAM80_04954	2299-2998
HMG_box_2	TraAM80_07502	19904-21155
HMG_box_2	TraAM80_08186	3706-5923
HNH	TraAM80_04174	41880-44835
Homez	TraAM80_04541	10712-11708
Homez	TraAM80_06476	0-478
HR1	TraAM80_03828	11846-12197
HR1	TraAM80_08725	7349-9947
HR1	TraAM80_00146	137909-139766
HSP70	TraAM80_08740	1070-3059
HSP70	TraAM80_10285	581-2573
HSP70	TraAM80_08206	12429-14391
HSP70	TraAM80_08973	6032-7967
HSP70	TraAM80_08417	5785-7804
HSP70	TraAM80_04653	40405-42904
HSP70	TraAM80_00911	49725-51555
HSP70	TraAM80_08412	0-361
HSP70	TraAM80_03792	1206-2181
HSP70	TraAM80_04876	40560-43365
HSP70	TraAM80_08741	3443-3830
HSP70	TraAM80_01000	28940-31427
HSP70	TraAM80_07808	19606-20013
HSP70	TraAM80_10589	0-535
HSP70	TraAM80_06176	16711-17740
IKI3	TraAM80_04098	1307-3089
IKI3	TraAM80_01512	12714-14043
ING	TraAM80_09140	9079-10117
ING	TraAM80_02202	50713-51634
Ipi1_N	TraAM80_02961	39498-41550
Ipi1_N	TraAM80_00544	103983-107418
Ipi1_N	TraAM80_08122	2284-3694
IQ	TraAM80_06370	24482-29333
IQ	TraAM80_04235	12102-16173
IQ	TraAM80_03531	48370-50860
IQ	TraAM80_04236	16595-17735
IQ	TraAM80_05851	3904-8068
IQ	TraAM80_01481	34819-36709
IQ	TraAM80_03014	23987-28013
IQ	TraAM80_10150	1632-2532
IQ	TraAM80_09402	4400-7922
IQ	TraAM80_05783	15907-16774
IQ	TraAM80_06209	9994-12226
IQ	TraAM80_01693	23265-26868
IQ	TraAM80_00569	35434-39229
IQ	TraAM80_07351	3650-4499
IQ	TraAM80_08629	7726-9007
IQ	TraAM80_07655	18394-20533
IQ	TraAM80_06689	16020-16716
IQ	TraAM80_04234	11596-11983
IQ	TraAM80_02382	0-4066
IQ	TraAM80_09685	1083-1446
IQ	TraAM80_06833	12919-16168
IQ	TraAM80_04788	7735-9418
IQ	TraAM80_00102	45869-46211
IQ	TraAM80_02289	26735-29306
IQ	TraAM80_07657	627-2874
IQ	TraAM80_08417	5785-7804
IQ	TraAM80_05219	33714-35049
JAB	TraAM80_07669	1851-2784
JAB	TraAM80_08010	13920-15084
JAB	TraAM80_10350	837-1950
JAB	TraAM80_03028	0-1002
JAB	TraAM80_04072	6880-7873
JAB	TraAM80_09427	995-2000
JmjC	TraAM80_07474	13310-14630
JmjC	TraAM80_05210	20518-22186
JmjC	TraAM80_00585	67971-71178
JmjC_2	TraAM80_00585	67971-71178
JmjC_2	TraAM80_05210	20518-22186
JmjC_2	TraAM80_07474	13310-14630
JmjC_2	TraAM80_08223	6940-7936
JmjC_2	TraAM80_07333	7770-9165
Kelch_1	TraAM80_01953	21216-22398
Kelch_1	TraAM80_06422	7821-8829
Kelch_1	TraAM80_06413	24586-26797
Kelch_1	TraAM80_07841	16231-19339
Kelch_1	TraAM80_06920	19848-21300
Kelch_1	TraAM80_05513	4512-5721
Kelch_1	TraAM80_01131	66390-68535
Kelch_1	TraAM80_00424	74325-76149
Kelch_1	TraAM80_02923	29836-31636
Kelch_1	TraAM80_06256	2745-3144
Kelch_1	TraAM80_08798	5773-6283
Kelch_1	TraAM80_04707	9118-10519
Kelch_1	TraAM80_07054	15780-17811
Kelch_1	TraAM80_00434	90864-92682
Kelch_1	TraAM80_03951	48145-50320
Kelch_1	TraAM80_01276	47306-48875
Kelch_1	TraAM80_01413	74658-77157
Kelch_1	TraAM80_06258	11998-16933
Kelch_1	TraAM80_00715	5543-6698
Kelch_1	TraAM80_07660	7301-8201
Kelch_1	TraAM80_07797	13928-16202
Kelch_3	TraAM80_01953	21216-22398
Kelch_3	TraAM80_06413	24586-26797
Kelch_3	TraAM80_06422	7821-8829
Kelch_3	TraAM80_05513	4512-5721
Kelch_3	TraAM80_07841	16231-19339
Kelch_3	TraAM80_06920	19848-21300
Kelch_3	TraAM80_00424	74325-76149
Kelch_3	TraAM80_01131	66390-68535
Kelch_3	TraAM80_03951	48145-50320
Kelch_3	TraAM80_01413	74658-77157
Kelch_3	TraAM80_02923	29836-31636
Kelch_3	TraAM80_08798	5773-6283
Kelch_3	TraAM80_07054	15780-17811
Kelch_3	TraAM80_01276	47306-48875
Kelch_3	TraAM80_04707	9118-10519
Kelch_3	TraAM80_00434	90864-92682
Kelch_3	TraAM80_00715	5543-6698
Kelch_3	TraAM80_00585	67971-71178
Kelch_3	TraAM80_07797	13928-16202
Kelch_5	TraAM80_01953	21216-22398
Kelch_5	TraAM80_07841	16231-19339
Kelch_5	TraAM80_06422	7821-8829
Kelch_5	TraAM80_06413	24586-26797
Kelch_5	TraAM80_05513	4512-5721
Kelch_5	TraAM80_06920	19848-21300
Kelch_5	TraAM80_01276	47306-48875
Kelch_5	TraAM80_02923	29836-31636
Kelch_5	TraAM80_01131	66390-68535
Kelch_5	TraAM80_03951	48145-50320
Kelch_5	TraAM80_08798	5773-6283
Kelch_5	TraAM80_00424	74325-76149
Kelch_5	TraAM80_04707	9118-10519
Kelch_5	TraAM80_00585	67971-71178
Kelch_5	TraAM80_07054	15780-17811
Kelch_5	TraAM80_01413	74658-77157
Kelch_5	TraAM80_00715	5543-6698
Kelch_5	TraAM80_00434	90864-92682
Kelch_5	TraAM80_07797	13928-16202
KH_1	TraAM80_05319	36263-39077
KH_1	TraAM80_01842	41403-41736
KH_1	TraAM80_00964	52382-53159
KH_1	TraAM80_04292	35986-36790
KH_1	TraAM80_03075	29946-33723
KH_1	TraAM80_00943	6706-7060
KH_1	TraAM80_05206	12797-13628
KH_1	TraAM80_03056	63390-63961
Kringle	TraAM80_01764	10008-10572
Las1	TraAM80_05807	27859-28777
Leo1	TraAM80_00573	46053-47367
LIM	TraAM80_03760	39959-40283
LIM	TraAM80_06551	5681-6905
LIM	TraAM80_04542	12242-24539
Linker_histone	TraAM80_06918	15970-17092
LRR_1	TraAM80_08331	2020-3082
LRR_1	TraAM80_00312	71655-72906
LRR_1	TraAM80_08583	7274-9890
LRR_1	TraAM80_08663	6273-10443
LRR_1	TraAM80_05369	9493-11713
LRR_1	TraAM80_03246	43136-43886
LRR_1	TraAM80_03048	42016-42715
LRR_1	TraAM80_05205	11287-12478
LRR_1	TraAM80_05870	21786-23046
LRR_1	TraAM80_02436	68090-69053
LRR_1	TraAM80_01856	64155-64560
LRR_1	TraAM80_01541	58140-58590
LRR_1	TraAM80_02181	71819-73157
LRR_1	TraAM80_04884	21519-23031
